image_name|comment_number|comment|corrected_comment
4268234398.jpg|0|A man in a black hooded sweatshirt and a man in a black shirt are standing near pine trees for sale and a smoothies and bubble tea stand , which is closed .|Хар юүдэнтэй цамц өмссөн эрэгтэй, хар цамцтай эрэгтэй нар зарах нарс модны дэргэд зогсож байгаа бөгөөд энэ нь хаалттай смүүти, хөөстэй цайны тавиур юм.
4268242266.jpg|0|Two large cones are outside , in the street , in front of a large building .|Хоёр том боргоцой гадаа , гудамжинд , том барилгын урд байна .
4268485193.jpg|0|Five men are surrounded by half-assembled bicycles inside a place where there 's some writing on the wall .|Ханаанд бичээстэй газар таван эрэгтэй хагас угсарсан дугуйгаар хүрээлэгдсэн байна.
4268831069.jpg|0|There are three men in this picture , two are on motorbikes , one of the men has a large piece of furniture on the back of his bike , the other is about to be handed a piece of paper by a man in a white shirt .|Энэ зураг дээр гурван эрэгтэй, хоёр нь мотоцикльтой, нэг нь дугуйныхаа ард том тавилгатай, нөгөөд нь нэг хүн цаас өгөх гэж байна. цагаан цамцтай.
4268878033.jpg|0|A classroom in India , with many decorations hanging from the ceilings , and a white circle on the floor .|Таазнаас өлгөөтэй олон чимэглэлтэй , шалан дээр цагаан дугуй хэлбэртэй Энэтхэг дэх анги .
426920445.jpg|0|The brown and white dog is running through the grass .|Хүрэн цагаан нохой өвсөн дундуур гүйж байна.
4269551560.jpg|0|Firefighter Connett of the Ossian Fire Department climbs a ladder amid smoke and rubble .|Оссийн гал сөнөөгч Коннетт утаа, нурангин дунд шатаар авирч байна.
4269809096.jpg|0|People dressed in red are walking into an ivory colored building that looks like a castle .|Улаан хувцастай хүмүүс цайз шиг харагдах зааны ясан өнгөтэй барилга руу алхаж байна.
4269882745.jpg|0|A man with dark hair and a white top is walking toward a bird on a boardwalk .|Хар үстэй, цагаан оройтой хүн явган хүний зам дээр шувууны зүг алхаж байна.
426994291.jpg|0|A woman in a white blazer smiles as she interacts with a blond woman and a brunette woman outside of a building .|Цагаан пиджак өмссөн эмэгтэй барилгын гадаа шаргал үстэй, хүрэн үстэй эмэгтэйтэй харилцаж байхдаа инээмсэглэж байна.
4270148661.jpg|0|Two chefs standing in front of a large boiling pot offer a spoonful of their dish .|Буцалж буй том тогооны өмнө зогсож буй хоёр тогооч аяганыхаа халбагаар өргөв.
4270193435.jpg|0|Middle eastern woman walking along side motorcyclist in heavy street traffic .|Гудамжны ачаалалд хажуугийн мотоцикльтой явж буй дунд дорнодын эмэгтэй .
427063077.jpg|0|Two middle-aged white men wearing sunglasses sit in sun , one with green shirt and blue baseball cap the other in a plaid .|Нарны шил зүүсэн дунд эргэм насны хоёр цагаан эр наранд сууж, нэг нь ногоон цамц, цэнхэр бейсболын малгай өмссөн, нөгөө нь гөлгөр хувцастай.
4270731854.jpg|0|A woman in a black sweatshirt and jeans reads a book to a young girl and boy who are dressed in their pajamas .|Хар цамц, жинсэн өмд өмссөн эмэгтэй унтлагын хувцастай залуу охин, хөвгүүнд ном уншиж байна.
427082246.jpg|0|a man wearing a yellow sweater playing with a black dog in a grassy field|Өвстэй талбайд хар нохойтой тоглож буй шар цамц өмссөн эрэгтэй
4270956712.jpg|0|A man in a blue shirt , khaki shorts , ball cap and white socks and loafers walking behind a group of people walking down a stone walkway with a water bottle in his left hand .|Цэнхэр цамц, хаки шорт, бөмбөлөг малгай, цагаан оймс, өмд өмссөн эрэгтэй зүүн гартаа усны сав бариад чулуун замаар явж буй хэсэг хүмүүсийн ард алхаж байна.
4271121531.jpg|0|A girl in a butterfly dress waves to the camera while riding along in a parade .|Эрвээхэйний даашинзтай охин жагсаалд оролцож байхдаа камер руу даллаж байна.
4271287940.jpg|0|Wakeboarder pulls off a Stalefish , a pretty tricky bend of your body when grabbing your board .|Вэйкбордчин таны самбарыг шүүрэн авахдаа таны биеийн нэлээд төвөгтэй нугалж болох Stalefish-ийг сугалж авлаа.
4271288402.jpg|0|A waterskiing man on something similar to a snowboard perches on a rail obstacle with just the tip of the board .|Сноубордтой төстэй зүйл дээр цанаар гулгаж буй хүн төмөр замын бартаат дээр самбарын үзүүрээр сууж байна.
4271298554.jpg|0|The future of snowboarding in the summertime with all the height and excitement you could possibly want .|Зуны улиралд цасан урлалын ирээдүй, таны хүссэн бүх өндөр, сэтгэл хөдөлгөм.
4271560578.jpg|0|A young man , without apparent protective gear , is on a bicycle jumping over small hills of sand or gravel , with a long bridge and tall buildings in the background .|Хамгаалах хэрэгсэлгүй нэгэн залуу унадаг дугуйтай элс хайргатай жижиг толгод дээгүүр үсэрч байгаа бөгөөд цаана нь урт гүүр, өндөр байшингууд харагдана.
427167162.jpg|0|a group of men are fighting in front of a bar in a European city , one of them hitting another with a stick .|Европын нэгэн хотын баарны өмнө хэсэг залуус зодолдож нэг нь нөгөөгөө модоор цохиж байна .
4272403632.jpg|0|Two shirtless guys jumping over a fence in an urban location .|Хотын газар хашаа дээгүүр үсэрч буй цамцгүй хоёр залуу .
4272747342.jpg|0|A man is handling a ladder , surrounded by cut up tree branches and lawn maintenance equipment .|Хүссэн модны мөчир, зүлэг арчилгааны тоног төхөөрөмжөөр хүрээлэгдсэн эрэгтэй шат барьж байна.
4272992511.jpg|0|A curly-haird youth with a beard and glasses is playfully saluted by two smiling children , while they all stand in a kitchen .|Сахалтай, нүдний шилтэй буржгар үстэй залууг гал тогооны өрөөнд зогсож байхад нь инээмсэглэсэн хоёр хүүхэд хөгжилтэй байдлаар мэндчилж байна.
427355665.jpg|0|An Asian woman , shown from behind , plays what appears to be an oboe , but is positioned as a flute .|Араас нь харуулсан ази эмэгтэй лимбэ шиг байрлалтай овоо шиг юм тоглож байна.
4273698621.jpg|0|A man in a green t-shirt , and a green hat operates outdoor equipment while wearing a green bandanna over his nose and mouth .|Ногоон футболк, ногоон малгай өмссөн хүн хамар, амандаа ногоон банна зүүж, гадаа тоног төхөөрөмж ажиллуулж байна.
4273711559.jpg|0|A man in a green shirt is talking on the phone and resting his leg on a piece of machinery .|Ногоон цамцтай хүн утсаар ярьж, машин дээр хөлөө тавиад зогсож байна.
4274035185.jpg|0|A train attendant poses in a train car , wearing a black vest and black tie over a white , collared shirt with a black hat , glasses , and a name tag .|Галт тэрэгний үйлчлэгч хар малгай, нүдний шил, нэрийн шошго бүхий цагаан захтай цамц дээр хар хантааз, хар зангиа зүүж, вагонд зургаа авахуулж байна.
4274214534.jpg|0|A woman on ice skates is being pulled by her dog she is holding with a leash .|Мөсөн тэшүүртэй эмэгтэйг оосортой барьж байгаа нохой нь татаж байна.
4274269186.jpg|0|there are 6 horses riding on a track field with mountains in the background and people in the foreground watching .|Ар талд нь уулстай зам дээр 6 морь унаж, урд талд нь хүмүүс харж байна.
427430186.jpg|0|A blond-haired girl wearing a white and brown shit is blowing a bubble with her gum .|Цагаан хүрэн баас өмссөн шаргал үстэй охин бохьоороо хөөс үлээж байна.
427433056.jpg|0|Asian boy in orange , white , and black coat celebrating St. Patrick 's day with a soda and green balloon .|Улбар шар, цагаан, хар пальтотой ази хүү Гэгээн Патрикийн өдрийг хийжүүлсэн ундаа, ногоон бөмбөлөг барин тэмдэглэж байна.
4274395288.jpg|0|A large hole in concrete being dug by a large digging machine .|Том ухах машинаар ухаж буй бетоны том нүх .
4274444390.jpg|0|Two men standing behind a large truck around some large chunks of wood .|Хоёр эрэгтэй том ачааны машины ард хэдэн том мод тойрон зогсож байна.
4274782458.jpg|0|A man with a gray beard and baseball cap sits with other people .|Саарал сахалтай, бейсболын малгайтай хүн бусад хүмүүстэй сууж байна.
4275465064.jpg|0|A group of African children dressed in mismatched clothing sing and play instruments .|Зохицоогүй хувцас өмссөн Африк хүүхдүүд дуулж, хөгжим тоглож байна.
427557693.jpg|0|Two people walking on the street with lots of bare trees around and snow on the ground .|Эргэн тойронд олон нүцгэн мод, газар цастай гудамжаар алхаж буй хоёр хүн .
427683329.jpg|0|Closeup of the side of an old woman 's face with oversized sun blocking glasses , gray hair and a gold earring .|Нарнаас хамгаалах том шилтэй, буурал үстэй, алтан ээмэг зүүсэн хөгшин эмэгтэйн нүүрний хажуугийн хажуугийн зураг.
4276945993.jpg|0|A young man dressed in black is playing the guitar in a dimly lit studio .|Хар хувцастай залуу бүдэгхэн гэрэлтэй студид гитар тоглож байна.
427703425.jpg|0|A man wearing a long-sleeve , blue plaid shirt and tan pants kneels next to a wheeled cart in a garage .|Урт ханцуйтай, хөх өнгийн дөрвөлжин цамц, бор өмд өмссөн эрэгтэй гаражид дугуйтай тэрэгний дэргэд өвдөг сөгдөн сууна.
427709177.jpg|0|A man in a black t-shirt holding a baby in a diaper and blue shirt on his lap .|Өвөр дээрээ хөх цамц, живхтэй хүүхэд тэвэрсэн хар цамцтай эрэгтэй .
427736337.jpg|0|A woman and a man talk over a desk in a purple room .|Нил ягаан өнгийн өрөөнд эмэгтэй эрэгтэй хоёр ширээний ард ярилцаж байна.
4278658978.jpg|0|"A crane , with the letters """" LIEBHERR """" on it , seems to be demolishing a dark gray building with graffiti on it ."|LIEBHERR гэсэн үсэгтэй тогоруу граффити бүхий хар саарал байшинг нурааж байх шиг байна .
427936315.jpg|0|The large brown dog is running through the grass to catch a red Frisbee .|Том хүрэн нохой улаан фрисби барихаар өвсөн дундуур гүйж байна.
4280272.jpg|0|Two young African American boys sitting at a desk in a classroom .|Ангид ширээний ард сууж буй Африк гаралтай Америк залуу хоёр хөвгүүн .
4280301189.jpg|0|A group of people are sitting at a table and eating together , they are in a fine dining establishment .|Хэсэг хүмүүс ширээний ард суугаад хамтдаа хооллож байна, тэд сайхан хоолны газар байна.
4280369285.jpg|0|A dirt track car with a large red bull logo on the side is driving fast on a dirt track .|Хажуу талдаа том улаан бухын логотой шороон замтай машин шороон замаар хурдан явж байна.
4280376593.jpg|0|A crowd of people , young and old , are in the desert watching a Red Bull sponsored Jeep race down the sand .|Цөлд хөгшин залуу гэлтгүй олон хүн Red Bull-ын ивээн тэтгэсэн жийп машиныг элсэн дээгүүр уралдаж байгааг харж байна.
