image_name|comment_number|comment|corrected_comment
1000092795.jpg|0|Two young guys with shaggy hair look at their hands while hanging out in the yard .|Хашаанд байгаа сэгсгэр үстэй хоёр залуу гараа харж байна.
10002456.jpg|0|Several men in hard hats are operating a giant pulley system .|Хамгаалалтын малгайтай хэд хэдэн эрчүүд аварга том дамар систем ажиллуулж байна.
1000268201.jpg|0|A child in a pink dress is climbing up a set of stairs in an entry way .|Ягаан өнгийн даашинз өмссөн хүүхэд гэрлүүгээ орох гэж шатаар шатаар авирч байна.
1000344755.jpg|0|Someone in a blue shirt and hat is standing on stair and leaning against a window .|Цэнхэр цамц малгай өмссөн хэн нэгэн шат дээр зогсоод цонх налан зогсож байна.
1000366164.jpg|0|Two men , one in a gray shirt , one in a black shirt , standing near a stove .|Саарал цамцтай , хар цамцтай хоёр эрэгтэй зуухны дэргэд зогсож байна .
1000523639.jpg|0|Two people in the photo are playing the guitar and the other is poking at him .|Зураг дээрх хоёр хүн гитар тоглож, нөгөө нь түүн рүү хатгаж байна.
1000919630.jpg|0|A man sits in a chair while holding a large stuffed animal of a lion .|Арслангийн том чихмэл барьж буй хүн сандал дээр сууж байна.
10010052.jpg|0|A girl is on rollerskates talking on her cellphone standing in a parking lot .|Машины зогсоол дээр дугуйтай тэшүүр дээр гар утсаараа ярьж буй охин зогсож байна.
1001465944.jpg|0|An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .|Хар костюм өмссөн ази эр хар үстэй эмэгтэй, бор үстэй эмэгтэйн дэргэд зогсож байна
1001545525.jpg|0|Two men in Germany jumping over a rail at the same time without shirts .|Германд хоёр эр цамцгүй нэгэн зэрэг төмөр дээгүүр үсэрч байна.
1001573224.jpg|0|Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .|Таван балетчин бүжгийн студид дунд үсрэлт хийж байхад нь нарны гэрэл цонхоор орж иржээ.
1001633352.jpg|0|Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .|Гурван залуу эрэгтэй, залуу эмэгтэй, пүүз өмссөн залуу эмэгтэй бетон шатаар нисэх онгоцны буудал дээр үсэрч байна.
1001773457.jpg|0|A black dog and a white dog with brown spots are staring at each other in the street .|Хар нохой, цагаан толботой цагаан толбо, гудамжинд бие биен рүүгээ ширтэж байна.
1001896054.jpg|0|A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .|Гэрэл цацруулагч хамгаалалтын хувцастай, чихний хамгаалалттай эр John Deere тракторыг зам дээр жолоодож байна.
100197432.jpg|0|Some women are standing in front of a bus with buildings behind it .|Зарим эмэгтэйчүүд автобусны урд зогсож, ард нь байшин барилга  харагдана.
100207720.jpg|0|A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .|Хар үстэй , нүдний шил зүүсэн залуу бүсгүй торт дээр шигшүүрээр цагаан нунтаг хийж байна.
1002674143.jpg|0|A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .|Солонго бүхий цагаан даавууны өмнө өвсөн дунд бяцхан охин хурууны будгаар тоглож байна .
1003163366.jpg|0|a man sleeping on a bench outside with a white and black dog sitting next to him .|Гадаа вандан сандал дээр унтаж байгаа хүн хажууд нь цагаан хар нохой сууж байна .
1003420127.jpg|0|A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .|Хэсэг том хүмүүс гэр дотор тойрог хэлбэрээр байрлуулсан сандал дээр суугаад нэг төрлийн хөгжмийн зэмсэг тоглож байна.
1003428081.jpg|0|Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .|Хэсэг том хүмүүс гэр дотор тойрог дээр нэг төрлийн сандал дээр нэг хөгжмийн зэмсэг тоглож байна.
100444898.jpg|0|A person in gray stands alone on a structure outdoors in the dark .|Саарал хувцастай хүн харанхуйд гадаа барилга дээр ганцаараа зогсож байна.
1005216151.jpg|0|A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .|Цагаан подволк өмссөн хүн метроны буудлын ойролцоох хүмүүсийн дунд хүрээлэгдсэн камер руу харж байна.
100577935.jpg|0|A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .|Хар цамц , цагаан латекс бээлий өмссөн сахалтай эр шивээсний буу ашиглан хэн нэгний нуруун дээр шивээс хийж байна .
1006452823.jpg|0|two children , a girl and a boy are practicing their writing .|охин , хүү хоёр хүүхэд бичих дадлага хийж байна .
100652400.jpg|0|A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .|Цэнхэр хамгаалалтын малгай, улбар шар хантааз өмссөн эр туг барин уулзвар дээр зогсож байна.
1007129816.jpg|0|The man with pierced ears is wearing glasses and an orange hat .|Чихээ цоолсон хүн нүдний шил зүүж,  улбар шар малгай өмссөн байна.
100716317.jpg|0|A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .|Урт буурал үстэй хүн шаргал өнгөтэй, цагаан малгай, цэнхэр борооны цув өмссөн хүн захын үзэсгэлэнт газрыг бусад зураачид болон уран зургуудаар хүрээлүүлэн зурж байна.
1007205537.jpg|0|A man stands on one foot while holding on to a waste basket .|Эрэгтэй хүн хогийн савнаас бариад нэг хөл дээрээ зогсож байна
1007320043.jpg|0|A small child grips onto the red ropes at the playground .|Бяцхан хүүхэд тоглоомын талбайн улаан олсноос атгаж байна.
100759042.jpg|0|Young man in jacket holding a toothpick with something on the end of it|Шүдний чигчлүүр барьсан хүрэмтэй залуу
10082347.jpg|0|Young blond man in a blue and yellow jacket smiling while standing in front of a net .|Цэнхэр шар хүрэмтэй шаргал үстэй залуу торны өмнө зогсож байхдаа инээмсэглэж байна.
10082348.jpg|0|A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .|Бейсболын малгай, хар хүрэмтэй эр угаалгын өрөөнд кофены аяга бариад зогсож байна.
100845130.jpg|0|Five people walking with a multicolored sky in the background .|Цаана нь олон өнгийн туяатай тэнгэртэй таван хүн алхаж байна.
10090841.jpg|0|A man with black hair sits in a restaurant with a glass of beer .|Хар үстэй хүн зоогийн газарт аяга шар айраг барин сууж байна .
1009434119.jpg|0|A black and white dog is running in a grassy garden surrounded by a white fence .|Цагаан хашаагаар хүрээлэгдсэн өвс ногоотой цэцэрлэгт хар цагаан нохой гүйж байна.
1009692167.jpg|0|An officer in a reflective vest stands at the front of his van with his dog .|Гэрэл цацруулагч хантааз өмссөн офицер нохойгоо дагуулан фургоныхоо урд зогсож байна.
