image_name|comment_number|comment|Translated Comment
4571895229.jpg|0|Several men are sitting around talking and laughing in an area that is filled with palm trees .|Хэд хэдэн эрчүүд ярьж, далдуу модоор дүүргэсэн газарт инээлдэж, инээлддэг.
4571898363.jpg|0|An older gentleman wearing a red shirt watches another older gentleman who is sleeping in a seated position on a park bench .|Улаан цамц өмссөн хөгшин жентлмен нь паркын вандан сандал дээр сууж байсан өөр нэг хөгшин зөөлөн хүн цагийг хардаг.
4572160708.jpg|0|A woman in a green sweater and striped shirt leans out of a window and holds a camera in front of her face , directing it at the photographer .|Ногоон цамц, судалтай цамц, судалтай цамц нь цонхнаас гарч, нүүрнийхээ урд камер барьж, гэрэл зурагчин дээр байрлуулна.
4572295844.jpg|0|A protest with a person wearing a black dress holding a red umbrella .|Улаан хувцастай хар даашинз өмссөн хүнтэй эсэргүүцэж байгаа хүн.
4572363355.jpg|0|A priest is speaking into a microphone within a church , arms open wide .|Тахилч нь сүм дотор микрофон руу ярьж байна.
4572432426.jpg|0|A cloudy but well-populated beach with a woman in a white gown with a basket walking past .|Үүлэрхэг боловч сайн хүн амтай,
4572650466.jpg|0|"A young man with brown hair , a black shirt , and a backpack is holding a sign that reads "" Class war , Wanker . """|"Хүрэн үстэй, хар цамц, хар цамц, үүргэвчиндээ ""Ангийн дайн, Ванкер"" -ийг уншсан тэмдгийг барьж байна."
4572715888.jpg|0|A brunette man wearing a pinkish dress shirt , jeans , and glasses is leaning against a red pole while reading a book in a subway station .|Ягаан өнгийн даашинз өмссөн үстэй хүн, жинсэн өмд өмсөж, нүдний шил зүүж, Метро станцад ном уншиж байхдаа улаан туйлын эсрэг байдаг.
4572718747.jpg|0|A child with an orange backpack holding a green and red painted bird house .|Ногоон, улаан будсан шувууны байшин барьсан жүржийн үүргэвчинтэй хүүхэд.
4572766663.jpg|0|A city street performer with long gray hair sits on a green bucket , two woman look on behind the man .|Ногоон өнгийн үстэй хотын гудамжны түнштэн нь ногоон хувин дээр сууж, хоёр эмэгтэй хүний ард харагдаж байна.
4573386995.jpg|0|A woman black-haired woman in a jacket and jeans is standing in front of a fence .|Нэг эмэгтэй хар үстэй эмэгтэй, жинсэн өмд, жинсэн өмд өмсөж буй эмэгтэй нь хашааны урд зогсож байна.
4573388475.jpg|0|Three young ladies wearing coats and long black skirts are standing on the grass in front of a large tree with purple blossoms .|Гурван залуу хатагтай цув, урт хар банзал өмсдөг, урт хар банзал нь ягаан өнгийн цэцэг бүхий том модны урд талд зогсож байна.
4573391235.jpg|0|A couples is walking outside under some trees while the flower petals are falling .|Цэцгийн дэлбээ унаж байх үед хосууд гадаа алхаж байна.
4573837006.jpg|0|A group of people look on as a large bunch of swimmers plow through the water near the banks .|Бүлэг нь банкуудын ойролцоо усаар дамжуулж том сэлэгчдийг анзаардаг.
4573945010.jpg|0|A man and a lady train for boxing in the middle of a grassy park .|Өвслөг цэцэрлэгт хүрээлэнд боксын дунд бокс хийхэд зориулагдсан эрэгтэй, эмэгтэй галт тэрэг.
4573958272.jpg|0|A male and female are standing together as the female has a piece of media equipment in her hand .|Эмэгтэй, эмэгтэй хүн гартаа хэвлэл мэдээллийн хэрэгслээр хамт зогсож байгаа тул хамтдаа зогсож байна.
4574070624.jpg|0|Three blond girls and a brunette are posing with their heads together and embracing for a photograph on a street .|Гурван шаргал үстэй охидууд, Brunette нь толгой дээрээ толгойтойгоо хамт тавьж, гудамжинд гэрэл зураг авахаар тэвэрч байна.
4574082050.jpg|0|Lots of people , many of them in orange , are walking between buildings forming a large crowd .|Олон хүмүүс, тэднээс олон хүн улбар шар өнгөтэй, олон түмэн үүсдэг барилгуудын хооронд алхаж байна.
4574105974.jpg|0|Two young blond women stand in a plaza sharing a mass of white cotton candy while pedestrians pass by all around them .|Хоёр залуу шаргал үстэй эмэгтэй, явган зорчигч нарыг тойрч өнгөрч байхад Плаза цагаан хөвөн даавууг хуваалцаж байна.
4574110851.jpg|0|A man in orange and a man in a light blue top are walking down the street towards something .|Нэврээд жүрж, цайвар цэнхэр дээд хэсэгт нэг эр хүн ямар нэгэн зүйл рүү алхаж байна.
4574570790.jpg|0|Two men are in a boxing match where a man in the red boxing trunks is hitting the man in the purple trunks .|Улаан боксын хонгилд эрэгтэй хүн боксын хонгилд байгаа хүн боксын тэмцээнд байгаа хүн нил ягаан хонгилд цохиж байна.
457507422.jpg|0|On man holds a long piece of wood for a door frame while another man looks on .|Эрэгтэй хүн хаалганы хүрээнд урт мод барьдаг.
4575288615.jpg|0|Two women standing in close proximity of each other , one of which is staring into the lens of the camera .|Хоёр эмэгтэй бие биенийхээ ойр дотно байдалд зогсож байна, энэ нь камерын линз рүү ширтэж байна.
